vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecodeid,pulocationid,dolocationid,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,2020-01-01T00:44:18.000,2020-01-01T01:13:29.000,Y,1,181,255,3,6.80,24.5,0.5,0.5,2.58,0,0.3,28.38,1,1,0
1,2020-01-01T00:37:46.000,2020-01-01T00:45:57.000,N,1,42,116,2,1.60,8,0.5,0.5,2,0,0.3,11.3,1,1,0
1,2020-01-01T00:49:40.000,2020-01-01T00:54:02.000,N,1,152,166,2,0.90,5.5,0.5,0.5,0,0,0.3,6.8,2,1,0
1,2020-01-01T00:58:31.000,2020-01-01T01:08:12.000,N,1,41,116,1,1.50,8.5,0.5,0.5,0,0,0.3,9.8,2,1,0
2,2020-01-01T00:21:35.000,2020-01-01T00:29:16.000,N,1,173,129,2,1.24,7,0.5,0.5,0,0,0.3,8.3,2,1,0
1,2020-01-01T00:22:28.000,2020-01-01T01:00:56.000,N,1,166,226,4,8.00,31,3.25,0.5,0,0,0.3,35.05,2,1,2.75
2,2020-01-01T00:19:36.000,2020-01-01T00:25:17.000,N,1,193,7,1,1.54,7,0.5,0.5,0,0,0.3,8.3,2,1,0
2,2020-01-01T00:28:29.000,2020-01-01T00:43:11.000,N,1,7,260,1,2.51,12.5,0.5,0.5,0,0,0.3,13.8,2,1,0
2,2020-01-01T00:03:15.000,2020-01-01T00:09:37.000,N,1,166,116,1,1.67,7.5,0.5,0.5,0,0,0.3,8.8,2,1,0
2,2020-01-01T00:23:16.000,2020-01-01T00:53:12.000,N,1,166,249,1,7.24,26,0.5,0.5,0,0,0.3,30.05,2,1,2.75
1,2020-01-01T00:47:17.000,2020-01-01T01:20:10.000,N,1,7,68,1,5.90,24,3.25,0.5,0,0,0.3,28.05,2,1,2.75
2,2020-01-01T00:33:52.000,2020-01-01T00:34:31.000,N,1,260,260,2,0.08,2.5,0.5,0.5,0,0,0.3,3.8,2,1,0
1,2020-01-01T00:35:26.000,2020-01-01T00:55:41.000,N,1,95,226,1,4.70,18.5,0.5,0.5,0,0,0.3,19.8,2,1,0
2,2020-01-01T00:51:30.000,2020-01-01T01:08:15.000,N,1,7,263,1,4.10,15,0.5,0.5,3.81,0,0.3,22.86,1,1,2.75
1,2020-01-01T00:11:57.000,2020-01-01T00:29:09.000,N,1,17,35,1,3.20,14,0.5,0.5,0,0,0.3,15.3,1,1,0
1,2020-01-01T00:41:18.000,2020-01-01T01:05:24.000,N,1,61,39,1,4.30,19,0.5,0.5,0,0,0.3,20.3,1,1,0
2,2020-01-01T00:26:54.000,2020-01-01T00:29:29.000,N,1,41,42,1,0.48,4,0.5,0.5,0,0,0.3,5.3,2,1,0
2,2020-01-01T00:38:28.000,2020-01-01T00:46:37.000,N,1,42,74,1,0.96,7,0.5,0.5,0,0,0.3,8.3,1,1,0
2,2020-01-01T00:26:51.000,2020-01-01T00:52:45.000,N,1,97,36,1,4.50,19.5,0.5,0.5,1,0,0.3,21.8,1,1,0
2,2020-01-01T00:54:50.000,2020-01-01T01:16:50.000,N,1,36,97,1,3.83,16,0.5,0.5,3.46,0,0.3,20.76,1,1,0
2,2020-01-01T00:50:06.000,2020-01-01T00:58:44.000,N,1,179,146,1,1.55,8,0.5,0.5,1.86,0,0.3,11.16,1,1,0
1,2020-01-01T00:09:10.000,2020-01-01T00:17:40.000,N,1,190,61,1,1.80,8.5,0.5,0.5,1.95,0,0.3,11.75,1,1,0
1,2020-01-01T00:28:16.000,2020-01-01T00:44:24.000,N,1,181,228,1,2.90,13,0.5,0.5,3.55,0,0.3,17.85,1,1,0
1,2020-01-01T00:58:25.000,2020-01-01T01:04:14.000,N,1,181,195,1,1.10,6.5,0.5,0.5,1.95,0,0.3,9.75,1,1,0
2,2020-01-01T00:25:49.000,2020-01-01T00:41:26.000,N,1,7,226,1,3.80,13.5,0.5,0.5,0,0,0.3,14.8,2,1,0
2,2020-01-01T00:45:31.000,2020-01-01T00:49:00.000,N,1,226,7,1,0.88,5,0.5,0.5,0,0,0.3,6.3,2,1,0
2,2020-01-01T00:44:10.000,2020-01-01T00:57:26.000,N,1,256,157,1,3.07,12,0.5,0.5,0,0,0.3,13.3,2,1,0
2,2020-01-01T00:59:03.000,2020-01-01T01:36:28.000,N,1,157,233,1,7.41,30,0.5,0.5,8.51,0,0.3,42.56,1,1,2.75
2,2020-01-01T00:52:30.000,2020-01-01T01:05:46.000,N,1,223,7,1,1.38,9.5,0.5,0.5,3.24,0,0.3,14.04,1,1,0
2,2020-01-01T00:22:18.000,2020-01-01T00:42:46.000,N,1,74,239,1,3.65,16,0.5,0.5,0.01,0,0.3,20.06,1,1,2.75
2,2020-01-01T01:01:48.000,2020-01-01T01:13:56.000,N,1,75,263,1,1.99,10,0.5,0.5,1,0,0.3,15.05,1,1,2.75
2,2020-01-01T00:08:19.000,2020-01-01T00:13:56.000,N,1,129,129,6,0.84,6,0.5,0.5,0,0,0.3,7.3,2,1,0
1,2020-01-01T00:53:12.000,2020-01-01T01:00:04.000,N,1,95,134,2,1.80,8,0.5,0.5,2,0,0.3,11.3,1,1,0
2,2020-01-01T00:21:18.000,2020-01-01T00:48:01.000,N,1,129,101,1,16.16,44.5,0.5,0.5,0,0,0.3,45.8,2,1,0
2,2020-01-01T00:21:03.000,2020-01-01T00:37:06.000,N,1,181,228,1,4.95,17.5,0.5,0.5,0,0,0.3,18.8,2,1,0
2,2020-01-01T00:45:53.000,2020-01-01T00:59:39.000,N,1,228,25,1,2.34,11.5,0.5,0.5,2.56,0,0.3,15.36,1,1,0
2,2020-01-01T01:02:25.000,2020-01-01T01:27:09.000,N,1,25,107,1,6.28,23.5,0.5,0.5,8.26,0,0.3,35.81,1,1,2.75
