vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,ratecodeid,pulocationid,dolocationid,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,2021-01-02T10:05:16.000,2021-01-02T10:10:29.000,1,17,61,0,0.7,5.5,0.0,0.5,0.0,0.0,0.3,6.3,2,1,0.0
1,2021-01-02T10:16:11.000,2021-01-02T10:21:11.000,1,61,49,0,0.8,5.5,0.0,0.5,0.0,0.0,0.3,6.3,2,1,0.0
2,2021-01-02T10:42:09.000,2021-01-02T12:25:45.000,1,136,69,1,8.96,61.0,0.0,0.5,2.75,0.0,0.3,64.55,1,1,0.0
2,2021-01-02T10:56:50.000,2021-01-02T11:03:53.000,1,41,151,1,1.46,7.5,0.0,0.5,1.66,0.0,0.3,9.96,1,1,0.0
2,2021-01-02T10:09:52.000,2021-01-02T10:44:39.000,1,7,134,1,7.67,29.0,0.0,0.5,0.0,0.0,0.3,29.8,2,1,0.0
2,2021-01-02T10:10:25.000,2021-01-02T10:42:11.000,1,97,75,1,14.06,41.0,0.0,0.5,2.75,6.12,0.3,50.67,1,1,0.0
2,2021-01-02T10:53:02.000,2021-01-02T11:01:43.000,1,116,41,1,1.71,8.5,0.0,0.5,0.0,0.0,0.3,9.3,2,1,0.0
2,2021-01-02T10:58:08.000,2021-01-02T11:02:43.000,1,52,40,1,1.04,5.5,0.0,0.5,1.89,0.0,0.3,8.19,1,1,0.0
2,2021-01-02T10:09:12.000,2021-01-02T10:17:17.000,1,65,49,1,1.41,7.5,0.0,0.5,1.66,0.0,0.3,9.96,1,1,0.0
2,2021-01-02T10:53:42.000,2021-01-02T11:09:11.000,1,65,228,1,2.94,13.0,0.0,0.5,3.45,0.0,0.3,17.25,1,1,0.0
2,2021-01-02T10:40:44.000,2021-01-02T10:41:39.000,1,75,74,1,0.37,3.0,0.0,0.5,0.0,0.0,0.3,3.8,1,1,0.0
2,2021-01-02T10:59:46.000,2021-01-02T11:06:53.000,1,41,238,1,1.31,7.5,0.0,0.5,1.15,0.0,0.3,9.45,1,1,0.0
2,2021-01-02T09:57:21.000,2021-01-02T10:13:39.000,1,169,168,1,3.91,15.0,0.0,0.5,0.0,0.0,0.3,15.8,2,1,0.0
2,2021-01-02T10:40:01.000,2021-01-02T10:53:58.000,1,244,238,5,4.72,16.0,0.0,0.5,0.0,0.0,0.3,19.55,2,1,2.75
1,2021-01-02T10:11:08.000,2021-01-02T10:22:42.000,1,95,56,1,2.6,10.5,0.0,0.5,0.0,0.0,0.3,11.3,2,1,0.0
1,2021-01-02T10:55:07.000,2021-01-02T11:04:25.000,1,95,95,1,1.2,8.0,0.0,0.5,0.0,0.0,0.3,8.8,2,1,0.0
2,2021-01-02T10:01:45.000,2021-01-02T10:11:08.000,1,74,229,1,3.67,12.5,0.0,0.5,3.21,0.0,0.3,19.26,1,1,2.75
2,2021-01-02T10:44:21.000,2021-01-02T10:46:49.000,1,42,42,1,0.0,3.5,0.0,0.5,0.0,0.0,0.3,4.3,2,1,0.0
2,2021-01-02T10:32:35.000,2021-01-02T10:45:07.000,1,95,102,1,2.69,11.0,0.0,0.5,0.0,0.0,0.3,11.8,2,1,0.0
2,2021-01-02T10:21:14.000,2021-01-02T10:52:57.000,1,146,197,1,12.95,40.0,0.0,0.5,0.0,0.0,0.3,43.55,2,1,2.75
2,2021-01-02T10:29:41.000,2021-01-02T10:36:18.000,1,52,33,1,0.93,6.5,0.0,0.5,2.19,0.0,0.3,9.49,1,1,0.0
2,2021-01-02T10:41:27.000,2021-01-02T10:49:11.000,1,260,82,6,1.22,7.0,0.0,0.5,0.0,0.0,0.3,7.8,2,1,0.0
2,2021-01-02T10:44:16.000,2021-01-02T10:47:20.000,1,65,65,1,0.44,4.0,0.0,0.5,0.0,0.0,0.3,4.8,2,1,0.0
2,2021-01-02T10:18:54.000,2021-01-02T10:33:17.000,1,74,163,1,3.73,13.5,0.0,0.5,4.26,0.0,0.3,21.31,1,1,2.75
2,2021-01-02T10:18:04.000,2021-01-02T10:35:02.000,1,244,75,1,3.6,15.0,0.0,0.5,1.0,0.0,0.3,16.8,1,1,0.0
1,2021-01-02T10:37:25.000,2021-01-02T10:45:50.000,1,152,238,1,2.1,9.5,0.0,0.5,2.05,0.0,0.3,12.35,1,1,0.0
