vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecodeid,pulocationid,dolocationid,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2021-01-02T07:57:53.000,2021-01-02T08:02:31.000,N,1,244,152,1,1.00,6,0,0.5,0,0,0.3,6.8,2,1,0
2,2021-01-02T07:15:32.000,2021-01-02T07:27:40.000,N,1,244,74,1,4.42,14.5,0,0.5,0,0,0.3,15.3,2,1,0
2,2021-01-02T07:30:13.000,2021-01-02T07:46:29.000,N,1,116,140,1,4.84,16.5,0,0.5,0,0,0.3,20.05,2,1,2.75
2,2021-01-02T07:44:11.000,2021-01-02T07:56:11.000,N,1,42,162,1,5.50,17,0,0.5,0,0,0.3,20.55,1,1,2.75
2,2021-01-02T06:59:06.000,2021-01-02T07:06:59.000,N,1,152,50,1,4.44,14,0,0.5,3.51,0,0.3,21.06,1,1,2.75
2,2021-01-02T07:47:25.000,2021-01-02T07:49:54.000,N,1,41,74,1,0.52,4,0,0.5,0,0,0.3,4.8,2,1,0
2,2021-01-02T07:03:46.000,2021-01-02T07:09:55.000,N,1,42,244,1,1.53,7,0,0.5,1.56,0,0.3,9.36,1,1,0
2,2021-01-02T07:23:46.000,2021-01-02T07:29:13.000,N,1,75,263,5,1.12,6,0,0.5,1.91,0,0.3,11.46,1,1,2.75
2,2021-01-02T07:14:48.000,2021-01-02T07:58:24.000,N,1,254,227,1,27.00,72.5,0,0.5,2.75,0,0.3,76.05,1,1,0
2,2021-01-02T07:46:10.000,2021-01-02T07:54:56.000,N,1,41,236,1,2.41,10,0,0.5,1,0,0.3,14.55,1,1,2.75
2,2021-01-02T07:53:39.000,2021-01-02T08:07:28.000,N,1,130,124,1,5.14,17,0,0.5,0,0,0.3,17.8,2,1,0
2,2021-01-02T07:43:12.000,2021-01-02T07:47:38.000,N,1,41,42,1,0.35,4.5,0,0.5,5,0,0.3,10.3,1,1,0
2,2021-01-02T07:45:50.000,2021-01-02T07:56:01.000,N,1,42,166,1,2.26,10,0,0.5,0,0,0.3,10.8,2,1,0
2,2021-01-02T07:55:55.000,2021-01-02T08:12:08.000,N,1,74,231,1,8.75,25.5,0,0.5,0,0,0.3,29.05,2,1,2.75
2,2021-01-02T07:11:14.000,2021-01-02T07:32:46.000,N,1,43,54,1,11.03,32,0,0.5,0,0,0.3,35.55,2,1,2.75
2,2021-01-02T08:02:56.000,2021-01-02T08:14:09.000,N,1,74,159,6,2.77,11,0,0.5,0,0,0.3,11.8,2,1,0
2,2021-01-02T07:36:30.000,2021-01-02T08:47:35.000,N,1,136,10,1,24.94,83,0,0.5,2.75,6.12,0.3,92.67,1,1,0
2,2021-01-02T07:28:32.000,2021-01-02T07:41:12.000,N,1,244,140,1,6.59,19.5,0,0.5,5.76,0,0.3,28.81,1,1,2.75
2,2021-01-02T07:48:20.000,2021-01-02T08:00:57.000,N,1,243,220,1,4.04,14.5,0,0.5,0,0,0.3,15.3,1,1,0
1,2021-01-02T07:47:50.000,2021-01-02T07:56:41.000,N,1,116,120,1,3.30,12,0,0.5,0,0,0.3,12.8,2,1,0
2,2021-01-02T07:35:12.000,2021-01-02T07:43:27.000,N,1,243,153,1,2.21,9,0,0.5,0,0,0.3,9.8,1,1,0
2,2021-01-02T07:50:25.000,2021-01-02T07:54:40.000,N,1,7,223,1,0.90,5,0,0.5,1.16,0,0.3,6.96,1,1,0
2,2021-01-02T07:22:59.000,2021-01-02T07:31:44.000,N,1,130,191,1,2.67,10,0,0.5,0,0,0.3,10.8,2,1,0
2,2021-01-02T07:57:42.000,2021-01-02T08:01:50.000,N,1,122,191,1,1.51,6,0,0.5,0,0,0.3,6.8,2,1,0
2,2021-01-02T08:28:32.000,2021-01-02T08:39:29.000,N,1,116,143,1,4.06,14,0,0.5,3.51,0,0.3,21.06,1,1,2.75
2,2021-01-02T08:08:26.000,2021-01-02T08:13:40.000,N,1,75,262,1,1.40,6.5,0,0.5,0,0,0.3,10.05,2,1,2.75
2,2021-01-02T08:43:58.000,2021-01-02T08:52:03.000,N,1,41,152,1,1.98,8.5,0,0.5,0,0,0.3,9.3,1,1,0
2,2021-01-02T08:07:33.000,2021-01-02T08:10:05.000,N,1,52,40,1,0.47,3.5,0,0.5,0,0,0.3,4.3,2,1,0
2,2021-01-02T08:00:45.000,2021-01-02T08:00:48.000,N,5,74,264,1,0.06,6,0,0,3.8,0,0.3,10.1,1,2,0
2,2021-01-02T08:32:47.000,2021-01-02T08:53:59.000,N,1,116,116,1,3.14,16.5,0,0.5,0,0,0.3,17.3,2,1,0
2,2021-01-02T08:33:16.000,2021-01-02T08:45:37.000,N,1,74,151,1,2.45,11,0,0.5,2.36,0,0.3,14.16,1,1,0
1,2021-01-02T08:46:20.000,2021-01-02T08:52:51.000,N,1,116,159,1,1.60,7.5,0,0.5,0,0,0.3,8.3,1,1,0
2,2021-01-02T08:38:11.000,2021-01-02T08:47:00.000,N,1,74,236,1,2.36,9.5,0,0.5,3.26,0,0.3,16.31,1,1,2.75
2,2021-01-02T08:37:57.000,2021-01-02T08:51:59.000,N,1,244,48,2,6.89,21,0,0.5,0,0,0.3,24.55,2,1,2.75
2,2021-01-02T08:19:42.000,2021-01-02T08:23:35.000,N,1,75,74,5,1.27,5.5,0,0.5,0,0,0.3,6.3,2,1,0
2,2021-01-02T08:24:38.000,2021-01-02T08:34:00.000,N,1,74,42,4,1.60,8.5,0,0.5,0,0,0.3,9.3,2,1,0
2,2021-01-02T08:57:23.000,2021-01-02T09:02:54.000,N,1,243,42,2,2.41,9,0,0.5,0,0,0.3,9.8,2,1,0
1,2021-01-02T08:05:58.000,2021-01-02T08:20:26.000,N,1,25,36,1,0.00,24.2,0,0.5,0,0,0.3,25,1,1,0
1,2021-01-02T08:23:07.000,2021-01-02T08:45:37.000,N,1,36,14,1,0.00,37.03,0,0.5,0,0,0.3,37.83,1,1,0
1,2021-01-02T08:10:04.000,2021-01-02T08:21:50.000,N,1,75,159,1,3.30,12.5,0,0.5,0,0,0.3,13.3,2,1,0
2,2021-01-02T08:38:48.000,2021-01-02T09:16:52.000,N,1,227,247,1,20.66,57,0,0.5,2.75,0,0.3,60.55,1,1,0
2,2021-01-02T08:48:13.000,2021-01-02T09:34:59.000,N,1,243,134,1,15.97,54,0,0.5,2.75,6.12,0.3,63.67,1,1,0
2,2021-01-02T08:07:33.000,2021-01-02T08:22:12.000,N,1,41,243,1,4.81,16.5,0,0.5,2,0,0.3,19.3,1,1,0
2,2021-01-02T08:55:50.000,2021-01-02T09:11:06.000,N,1,43,243,1,7.58,22.5,0,0.5,1,0,0.3,24.3,1,1,0
2,2021-01-02T08:06:04.000,2021-01-02T08:14:44.000,N,1,75,164,1,3.80,12,0,0.5,3.11,0,0.3,18.66,1,1,2.75
2,2021-01-02T08:02:55.000,2021-01-02T08:09:02.000,N,1,75,168,1,1.61,7,0,0.5,0,0,0.3,7.8,2,1,0
2,2021-01-02T08:57:49.000,2021-01-02T09:04:44.000,N,1,74,166,1,1.62,7.5,0,0.5,1.66,0,0.3,9.96,1,1,0
2,2021-01-02T08:52:28.000,2021-01-02T08:56:05.000,N,1,116,42,1,0.52,4.5,0,0.5,0.5,0,0.3,5.8,1,1,0
2,2021-01-02T08:10:25.000,2021-01-02T08:16:11.000,N,1,116,244,1,1.35,7,0,0.5,0,0,0.3,7.8,2,1,0
2,2021-01-02T08:39:55.000,2021-01-02T08:44:40.000,N,1,116,152,1,0.78,5.5,0,0.5,0,0,0.3,6.3,2,1,0
2,2021-01-02T08:14:59.000,2021-01-02T08:31:16.000,N,1,127,142,1,8.28,25,0,0.5,0,0,0.3,28.55,2,1,2.75
